Age [ka BP],Depth [m],Al [ppm],Ba [ppm],Mo [ppm],Ti [ppm],U [ppm]
19.964,1.856,69295,221,3,6829,3
19.980,1.857,70274,259,1,6593,3
19.997,1.858,71282,204,3,6995,3
20.013,1.859,71751,267,3,6806,3
20.030,1.860,70708,205,1,6692,3
20.046,1.861,70555,255,2,7021,3
20.063,1.862,71272,241,2,6896,3
20.079,1.863,70659,249,2,6935,3
20.095,1.864,69761,231,3,6820,2
20.112,1.865,71703,271,3,6961,2
20.128,1.866,71200,284,2,6594,3
20.144,1.867,70833,297,2,6683,4
20.161,1.868,71153,199,1,6930,2
20.177,1.869,71691,209,1,7003,3
20.194,1.870,71316,228,2,6985,2
20.210,1.871,70972,248,3,7051,3
20.226,1.872,69654,170,2,6973,3
20.243,1.873,68570,286,2,6726,4
20.259,1.874,67782,208,1,6879,1
20.276,1.875,69680,238,2,6860,2
20.292,1.876,68742,316,2,6627,3
20.308,1.877,69788,217,2,6927,3
20.325,1.878,70664,300,3,7127,3
20.341,1.879,68648,169,2,6886,3
20.357,1.880,70721,201,3,6958,3
20.374,1.881,68596,254,3,6559,4
20.390,1.882,68475,237,2,6642,3
20.406,1.883,68939,187,3,6954,3
20.423,1.884,69619,188,2,6664,3
20.439,1.885,67134,233,2,6900,2
20.455,1.886,70091,270,3,7112,5
20.472,1.887,68804,264,3,6966,4
20.488,1.888,68491,236,3,6865,2
20.504,1.889,68762,210,2,7132,3
20.521,1.890,69036,258,2,6723,5
20.537,1.891,70084,276,2,6969,2
20.553,1.892,68270,252,2,6519,1
20.569,1.893,66488,199,2,6255,2
20.586,1.894,67015,216,2,6500,2
20.602,1.895,68663,230,1,6605,1
20.618,1.896,68808,233,3,6704,3
20.634,1.897,69663,200,3,6737,3
20.650,1.898,70270,272,3,6733,2
20.667,1.899,67970,288,2,6528,3
20.683,1.900,68006,225,3,6719,3
20.699,1.901,70620,272,2,6758,2
20.716,1.902,69950,229,2,6797,3
20.732,1.903,70218,269,3,6757,3
20.749,1.904,70103,210,2,6958,2
20.765,1.905,69760,264,3,6690,2
20.782,1.906,69393,211,1,6652,2
20.798,1.907,68338,294,2,6816,2
20.814,1.908,68984,254,2,6922,2
20.831,1.909,68069,224,2,6801,2
20.847,1.910,71113,238,1,7169,3
20.863,1.911,69678,217,3,6752,4
20.879,1.912,69514,204,1,6572,3
20.896,1.913,70660,270,2,6568,4
20.912,1.914,70816,213,1,6658,1
20.928,1.915,71751,196,1,6543,1
20.944,1.916,70914,281,2,6608,2
20.961,1.917,71011,245,1,6950,1
20.977,1.918,69894,252,1,6597,2
20.994,1.919,70492,242,2,6764,4
21.010,1.920,70308,251,2,6609,1
21.026,1.921,70706,252,2,6836,2
21.043,1.922,70981,201,2,6900,3
21.059,1.923,68574,212,2,6768,1
21.076,1.924,71944,235,2,6904,3
21.092,1.925,71408,214,1,6796,2
21.109,1.926,72937,209,1,6684,3
21.125,1.927,69983,212,1,6560,2
21.142,1.928,69414,216,1,6449,2
21.158,1.929,68848,229,1,6526,1
21.175,1.930,69232,236,1,6692,2
21.191,1.931,68098,214,2,6851,2
21.208,1.932,68059,196,1,6581,2
21.224,1.933,67532,224,1,6539,2
21.241,1.934,68497,203,1,6369,2
21.257,1.935,70408,274,2,6506,3
21.274,1.936,70508,227,1,6590,2
21.290,1.937,69756,215,2,6719,1
21.306,1.938,69179,240,2,6510,2
21.323,1.939,70184,287,1,6549,2
21.339,1.940,69672,212,1,6629,1
21.355,1.941,67466,185,1,6652,1
21.371,1.942,68523,246,2,6590,2
21.387,1.943,67517,225,2,6491,1
21.404,1.944,68248,256,2,6328,3
21.420,1.945,67610,233,2,6508,2
21.436,1.946,68404,273,2,6655,1
21.453,1.947,69162,219,1,6478,2
21.469,1.948,66015,200,2,6247,2
21.485,1.949,69614,270,3,6631,3
21.501,1.950,70190,253,2,6696,3
21.517,1.951,70125,273,1,6653,3
21.533,1.952,69104,295,2,6445,2
21.549,1.953,68251,260,3,6345,3
21.564,1.954,69312,231,1,6452,3
21.580,1.955,69861,205,1,6570,2
21.595,1.956,66860,220,2,6518,2
21.611,1.957,70394,274,1,6575,2
21.626,1.958,67678,221,2,6427,2
21.642,1.959,68253,216,1,6532,2
21.657,1.960,68267,245,2,6489,2
21.673,1.961,67464,235,1,6294,3
21.688,1.962,69089,246,2,6467,4
21.704,1.963,68131,279,1,6261,2
21.719,1.964,69182,226,2,6533,2
21.735,1.965,67950,243,2,6576,2
21.750,1.966,69546,280,2,6622,2
21.766,1.967,70243,262,1,6636,2
21.782,1.968,68131,218,2,6485,2
21.797,1.969,70407,227,1,6620,2
21.813,1.970,69832,218,1,6567,1
21.828,1.971,68686,217,2,6475,2
21.844,1.972,69196,219,2,6507,2
21.859,1.973,69617,224,2,6545,2
21.875,1.974,69608,225,1,6217,2
21.890,1.975,69753,236,1,6462,1
21.906,1.976,68645,225,2,6315,2
21.921,1.977,70261,266,2,6192,3
21.937,1.978,70005,247,1,6373,1
21.952,1.979,70055,222,1,6316,1
21.968,1.980,67615,212,1,6312,1
21.984,1.981,68818,212,1,6207,3
21.999,1.982,69107,169,2,6450,3
22.015,1.983,68825,215,2,6318,1
22.031,1.984,69383,236,1,6148,1
22.047,1.985,69701,219,2,6345,3
22.062,1.986,68359,208,2,5994,2
22.078,1.987,67081,234,2,6081,1
22.094,1.988,66898,230,1,6038,2
22.110,1.989,66506,216,1,6280,2
22.126,1.990,67797,216,1,6278,1
22.142,1.991,68340,159,2,6205,2
22.158,1.992,66177,200,1,6430,1
22.174,1.993,67320,237,1,6336,3
22.189,1.994,64942,216,1,6230,1
22.205,1.995,65989,222,1,6076,2
22.221,1.996,67133,284,1,6108,3
22.236,1.997,68208,223,2,6439,2
22.251,1.998,65130,238,2,5976,1
22.265,1.999,66663,225,2,5966,2
22.279,2.000,66510,254,2,6261,3
22.293,2.001,66303,255,1,6225,2
22.307,2.002,68424,310,1,6451,2
22.320,2.003,67235,269,2,6371,1
22.333,2.004,65760,271,1,5976,1
22.345,2.005,65548,197,1,6318,1
22.358,2.006,63775,246,1,6275,2
22.371,2.007,65177,242,2,6251,3
22.383,2.008,65602,231,1,6223,1
22.396,2.009,64555,218,2,6196,3
22.409,2.010,66735,270,2,6177,2
22.421,2.011,66320,239,2,6334,3
22.434,2.012,64845,200,1,6436,2
22.447,2.013,65461,292,2,6117,3
22.460,2.014,65547,267,1,6049,2
22.473,2.015,65682,251,1,6047,2
22.486,2.016,63735,182,1,6278,2
22.498,2.017,64830,205,1,6025,2
22.511,2.018,65128,210,2,6281,1
22.524,2.019,65860,209,2,6398,2
22.537,2.020,66172,208,2,6522,2
22.550,2.021,65766,232,3,6258,3
22.563,2.022,65146,236,1,6360,1
22.576,2.023,66965,193,2,6588,2
22.589,2.024,67505,261,1,6428,2
22.603,2.025,66061,251,2,6201,1
22.616,2.026,66853,199,1,6382,1
22.629,2.027,66847,175,2,6295,1
22.642,2.028,66263,209,1,6165,1
22.655,2.029,65981,163,2,6183,1
22.668,2.030,66711,216,1,6049,1
22.681,2.031,66988,184,1,6136,2
22.694,2.032,68088,203,1,6285,1
22.707,2.033,65951,213,2,6023,2
22.720,2.034,66023,184,1,6297,3
22.733,2.035,64175,173,1,6045,1
22.746,2.036,66002,252,2,6084,4
22.759,2.037,65937,184,1,6168,2
22.772,2.038,67039,222,2,6246,1
22.785,2.039,66660,235,2,6289,1
22.798,2.040,65955,204,1,6167,2
22.811,2.041,66077,171,1,6142,1
22.823,2.042,65954,267,2,5962,1
22.836,2.043,66157,197,1,6092,1
22.849,2.044,66447,233,1,6070,2
22.862,2.045,65963,214,2,6185,2
22.874,2.046,65832,202,2,6436,2
22.887,2.047,66149,180,2,6579,3
22.900,2.048,67949,220,2,6555,2
22.912,2.049,69183,279,2,6543,1
22.925,2.050,66157,205,2,6556,1
22.937,2.051,65896,256,1,6424,2
22.950,2.052,65941,174,1,6451,1
22.963,2.053,67444,192,1,6423,1
22.975,2.054,68830,218,1,6653,2
22.988,2.055,69386,296,2,6514,2
23.000,2.056,69681,221,3,6719,4
23.013,2.057,68761,228,1,6594,2
23.026,2.058,69234,224,2,6609,2
23.038,2.059,68154,226,1,6676,2
23.051,2.060,69859,288,2,6634,2
23.063,2.061,68629,250,1,6719,2
23.076,2.062,67053,251,1,6662,2
23.089,2.063,68517,248,1,6667,2
23.101,2.064,67602,215,2,6736,1
23.113,2.065,69530,264,1,6657,2
23.126,2.066,70157,264,1,6707,2
23.138,2.067,69630,254,2,6789,2
23.151,2.068,71883,236,2,6921,2
23.163,2.069,70000,199,1,6597,1
23.175,2.070,71313,250,2,6913,2
23.188,2.071,70965,229,1,6878,2
23.200,2.072,69158,215,1,6983,1
23.212,2.073,71553,253,1,7006,1
23.225,2.074,74379,237,2,7215,3
23.237,2.075,72931,224,1,6957,2
23.249,2.076,73190,238,2,7183,2
23.261,2.077,71770,184,1,7027,1
23.274,2.078,73546,237,2,7028,2
23.286,2.079,72466,289,2,7036,1
23.298,2.080,73660,268,1,7030,2
23.311,2.081,73303,248,2,7282,1
23.323,2.082,74049,260,2,7344,2
23.335,2.083,73452,286,2,7174,4
23.348,2.084,71972,245,2,7067,2
23.360,2.085,74289,255,1,7328,1
23.372,2.086,77906,275,1,7712,3
23.385,2.087,77217,283,2,7487,3
23.397,2.088,77500,238,2,7738,4
23.409,2.089,78150,301,1,7342,4
23.421,2.090,78077,267,1,7359,3
23.434,2.091,77559,268,3,7357,3
23.446,2.092,77558,305,1,7418,3
23.458,2.093,74892,296,2,7137,2
23.470,2.094,78763,281,2,7344,2
23.482,2.095,79280,244,1,7395,3
23.494,2.096,77421,261,2,7362,2
23.506,2.097,78069,294,2,7238,2
23.519,2.098,77288,250,1,7101,3
23.532,2.099,76893,237,2,7306,2
23.544,2.100,76536,215,1,7469,1
23.557,2.101,78306,357,2,7140,3
23.570,2.102,79120,283,2,7247,2
23.582,2.103,78470,295,2,7609,1
23.595,2.104,79739,328,3,7634,2
23.608,2.105,80000,309,2,7430,2
23.621,2.106,79665,263,2,7373,2
23.633,2.107,78716,267,2,7665,3
23.646,2.108,80251,300,1,7633,2
23.659,2.109,78754,280,2,7729,2
23.671,2.110,79403,275,3,7535,3
23.684,2.111,78824,280,3,7758,3
23.697,2.112,80061,290,2,7660,2
23.709,2.113,79238,279,1,7583,2
23.722,2.114,77862,240,3,8006,1
23.735,2.115,77723,258,3,7807,3
23.748,2.116,77657,240,2,7985,2
23.761,2.117,79636,326,2,7590,2
23.774,2.118,79644,307,1,7665,3
23.787,2.119,79793,332,1,7369,2
23.800,2.120,79640,333,2,7358,2
23.812,2.121,80168,275,3,7908,2
23.825,2.122,79385,184,2,7878,3
23.838,2.123,79898,297,2,7569,2
23.850,2.124,79564,336,3,7878,3
23.863,2.125,78598,263,2,7465,3
23.876,2.126,78266,283,2,7610,1
23.889,2.127,80093,300,2,7693,2
23.902,2.128,77958,274,3,7805,3
23.915,2.129,80900,360,3,7702,3
23.928,2.130,79166,277,2,7811,2
23.940,2.131,79182,255,2,7818,2
23.953,2.132,79965,314,2,7650,3
23.966,2.133,78521,305,4,8004,3
23.979,2.134,78364,257,2,7615,3
23.992,2.135,78601,238,2,7785,1
24.004,2.136,79120,287,2,7516,4
24.017,2.137,77487,242,2,7588,2
24.030,2.138,79626,320,2,7282,2
24.043,2.139,80598,266,2,8209,2
24.056,2.140,80684,207,2,7994,1
24.068,2.141,79100,296,2,7647,3
24.081,2.142,80380,278,3,7882,2
24.094,2.143,78784,312,2,7617,1
24.107,2.144,81217,339,2,7703,3
24.120,2.145,81155,242,2,7805,3
24.132,2.146,81027,283,2,7828,2
24.145,2.147,81705,270,1,7698,2
24.158,2.148,80880,321,2,7436,2
24.171,2.149,80385,227,3,7630,1
24.184,2.150,81510,299,2,7570,2
24.197,2.151,79935,208,1,7524,2
24.210,2.152,81121,243,1,7460,2
24.223,2.153,82975,237,1,7561,2
24.235,2.154,80906,271,2,7338,2
24.248,2.155,82217,266,2,7560,2
24.261,2.156,80527,256,2,7403,1
24.274,2.157,83359,300,1,7471,2
24.287,2.158,82325,306,2,7494,2
24.299,2.159,83406,300,1,7144,2
24.312,2.160,83827,268,2,7253,1
24.325,2.161,82682,243,1,7437,1
24.338,2.162,82407,242,1,7198,1
24.351,2.163,82414,233,2,7487,2
24.364,2.164,82519,201,1,7581,1
24.377,2.165,85906,263,2,7585,1
24.389,2.166,85870,273,1,7394,1
24.402,2.167,86250,251,1,7204,1
24.415,2.168,88835,246,1,6947,1
24.428,2.169,87348,238,1,6853,1
24.441,2.170,84056,284,2,7132,2
24.453,2.171,81221,307,2,7088,3
24.466,2.172,80411,234,2,7213,2
24.479,2.173,80334,242,2,7371,3
24.492,2.174,80776,293,2,7418,2
24.505,2.175,81128,302,1,7637,2
24.518,2.176,81167,288,3,7888,2
24.531,2.177,81333,331,2,7773,4
24.544,2.178,79225,305,2,7502,2
24.557,2.179,80615,266,2,7616,3
24.570,2.180,83546,312,2,7876,4
24.583,2.181,81672,295,3,7833,3
24.595,2.182,82468,322,3,7831,3
24.608,2.183,79032,304,3,7413,5
24.621,2.184,81388,304,2,7819,3
24.634,2.185,81768,306,2,7597,3
24.647,2.186,81434,291,2,7420,2
24.660,2.187,81597,311,2,7574,3
24.673,2.188,81202,258,2,7360,2
24.686,2.189,83628,237,2,7244,1
24.699,2.190,81656,279,3,7648,2
24.712,2.191,83702,333,3,7934,3
24.725,2.192,82361,267,4,8166,4
24.738,2.193,80610,319,4,7817,3
24.751,2.194,82407,340,3,7847,3
24.764,2.195,81754,350,3,8090,4
24.776,2.196,80409,312,3,7638,3
24.789,2.197,80582,269,2,7689,2
24.802,2.198,81394,343,2,8004,2
24.814,2.199,80133,344,2,7849,4
24.827,2.200,80338,269,4,8156,3
24.839,2.201,79391,314,3,8077,2
24.852,2.202,79767,278,2,7933,2
24.864,2.203,79096,278,2,7600,2
24.877,2.204,78031,300,1,7496,2
24.889,2.205,79182,234,1,7712,1
24.902,2.206,77970,266,2,7640,2
24.914,2.207,76779,262,1,7947,2
24.926,2.208,77332,267,2,7953,2
24.939,2.209,77457,305,3,7889,4
24.951,2.210,77843,299,2,8140,2
24.964,2.211,77567,315,2,7550,4
24.976,2.212,76507,301,2,7375,2
24.988,2.213,75286,211,3,7674,1
25.001,2.214,77322,223,2,7990,2
25.013,2.215,75673,269,2,7699,2
25.026,2.216,75986,217,2,7673,3
25.038,2.217,77456,260,1,7603,3
25.051,2.218,75125,215,2,7775,2
25.063,2.219,74419,206,1,7694,2
25.075,2.220,75451,287,1,7171,2
25.088,2.221,74132,248,2,7513,3
25.100,2.222,76853,271,1,7191,3
25.112,2.223,78194,248,1,7593,3
25.125,2.224,77526,266,1,7605,2
25.137,2.225,79518,222,2,7736,3
25.150,2.226,79280,330,2,7790,3
25.162,2.227,78878,283,2,7515,5
25.175,2.228,77877,241,2,7659,3
25.187,2.229,76527,285,1,7461,2
25.199,2.230,77985,220,3,7718,4
25.211,2.231,78007,266,2,7662,3
25.223,2.232,78191,255,1,7801,3
25.236,2.233,78399,266,2,7511,4
25.248,2.234,80005,270,3,7665,3
25.261,2.235,78991,272,1,7675,2
25.273,2.236,79752,226,1,7881,2
25.285,2.237,78585,298,1,7540,2
25.298,2.238,77995,231,2,7708,3
25.310,2.239,80306,242,1,7711,2
25.322,2.240,79797,285,2,7594,4
25.333,2.241,80914,270,2,7958,3
25.345,2.242,79455,336,2,7513,3
25.358,2.243,78893,272,2,7827,2
25.370,2.244,78242,282,2,7516,3
25.382,2.245,78838,333,2,7660,3
25.395,2.246,79374,263,1,8167,4
25.407,2.247,79465,285,3,7922,4
25.420,2.248,81507,288,2,7936,3
25.432,2.249,80982,264,2,8068,2
25.445,2.250,82497,340,3,8016,5
25.458,2.251,84200,279,2,8228,2
25.470,2.252,81681,318,2,7760,3
25.483,2.253,82084,334,2,7677,3
25.496,2.254,81463,266,3,7625,3
25.510,2.255,83706,283,2,7783,2
25.523,2.256,82425,253,2,7726,2
25.536,2.257,83896,236,2,7930,2
25.549,2.258,82555,251,2,7695,2
25.562,2.259,83463,253,2,7939,5
25.575,2.260,82206,326,2,7794,4
25.588,2.261,83266,311,4,7870,3
25.601,2.262,82111,273,1,7815,3
25.614,2.263,81303,310,4,7939,4
25.627,2.264,82294,223,2,8099,3
25.641,2.265,83953,263,2,8054,4
25.654,2.266,81515,308,1,7691,3
25.667,2.267,81877,242,1,8065,4
25.681,2.268,81462,296,2,7748,3
25.694,2.269,85190,373,2,7746,5
25.707,2.270,83579,301,2,7780,3
25.721,2.271,83134,254,2,8032,2
25.734,2.272,83954,330,3,8012,2
25.747,2.273,82912,258,1,7922,3
25.761,2.274,82935,349,2,7972,2
25.774,2.275,84786,355,2,8154,3
25.788,2.276,81367,294,2,8082,3
25.801,2.277,80923,287,2,7980,4
25.815,2.278,83365,375,1,7940,4
25.828,2.279,85117,270,2,8446,4
25.841,2.280,84650,316,2,8281,3
25.855,2.281,82380,358,2,7921,3
25.868,2.282,83890,339,2,7993,3
25.881,2.283,81695,294,1,8086,2
25.894,2.284,84646,296,1,8292,3
25.907,2.285,86430,364,2,8262,2
25.921,2.286,85999,360,4,7980,6
25.934,2.287,87080,344,2,8025,5
25.947,2.288,83863,328,4,8005,4
25.961,2.289,86239,328,5,8139,5
25.974,2.290,86369,289,3,7892,4
25.988,2.291,85726,351,3,7879,5
26.001,2.292,86514,300,3,8328,5
26.014,2.293,86619,340,5,7755,5
26.028,2.294,84866,294,4,7848,4
26.041,2.295,85924,371,3,7659,3
26.055,2.296,83997,251,4,7896,3
26.068,2.297,86768,372,3,7851,5
26.081,2.298,87705,288,3,7847,5
26.094,2.299,84754,318,2,7666,3
26.107,2.300,87972,269,2,7790,4
26.120,2.301,86976,382,3,7722,4
26.132,2.302,88181,354,4,8029,3
26.145,2.303,89063,324,3,7993,3
26.158,2.304,88829,351,2,7716,3
26.170,2.305,88008,379,3,7922,4
26.183,2.306,88071,315,2,7669,4
26.196,2.307,88136,401,2,7786,5
26.208,2.308,87261,310,3,7816,2
26.221,2.309,88356,321,2,7679,2
26.233,2.310,87881,334,2,7893,4
26.246,2.311,86696,294,2,7776,3
26.258,2.312,85998,317,2,7825,3
26.270,2.313,84105,328,1,7722,5
26.283,2.314,85579,331,3,7806,3
26.295,2.315,85560,332,2,7837,2
26.308,2.316,87026,328,3,7774,3
26.320,2.317,86798,315,2,7906,3
26.333,2.318,87162,347,2,7960,5
26.346,2.319,87289,293,2,7921,5
26.358,2.320,86207,290,2,7934,4
26.371,2.321,86037,332,2,8102,3
26.384,2.322,87142,377,3,7935,4
26.396,2.323,85648,318,2,8069,3
26.409,2.324,85498,318,2,7558,5
26.422,2.325,85928,296,3,7865,4
26.435,2.326,86232,346,3,7940,4
26.447,2.327,86816,252,2,7784,3
26.460,2.328,85598,290,2,7735,4
26.472,2.329,85878,326,2,8025,3
26.485,2.330,85567,339,2,7882,3
26.497,2.331,87741,342,2,8248,5
26.510,2.332,86157,291,2,7902,3
26.523,2.333,86388,277,2,7978,4
26.535,2.334,86497,289,2,8013,2
26.548,2.335,87172,262,2,7957,3
26.560,2.336,87071,291,2,7883,3
26.573,2.337,85513,261,2,7882,4
26.585,2.338,85429,285,3,7973,4
26.598,2.339,83877,293,2,7704,5
26.610,2.340,86306,272,2,7736,4
26.623,2.341,85632,300,1,7763,3
26.636,2.342,86201,351,2,8018,3
26.648,2.343,85458,312,2,7972,2
26.661,2.344,87149,299,1,8177,2
26.673,2.345,84972,236,2,7874,3
26.686,2.346,84647,264,2,7988,2
26.698,2.347,85211,287,2,7988,3
26.711,2.348,84688,365,2,7997,4
26.723,2.349,86009,330,2,8133,5
26.735,2.350,84525,316,2,7866,2
26.748,2.351,86065,336,3,7932,4
26.760,2.352,86924,261,2,8038,2
26.772,2.353,85174,236,2,8031,3
26.785,2.354,85130,282,2,7784,4
26.797,2.355,83463,213,1,7781,3
26.810,2.356,83838,250,2,7792,3
26.822,2.357,86141,304,1,7771,3
26.835,2.358,84047,253,2,7802,4
26.847,2.359,85664,383,2,7727,5
26.860,2.360,84412,296,4,8026,4
26.872,2.361,85357,262,2,7887,3
26.885,2.362,84951,277,2,7843,2
26.897,2.363,83597,298,1,7739,3
26.910,2.364,84846,254,2,7806,2
26.922,2.365,84219,268,2,7802,3
26.935,2.366,84485,309,2,7842,5
26.947,2.367,85596,282,2,7958,5
26.960,2.368,84129,281,2,7798,3
26.972,2.369,83737,289,2,7766,3
26.985,2.370,83993,284,2,7691,4
26.998,2.371,84721,292,1,7695,4
27.010,2.372,83428,359,2,7861,5
27.023,2.373,83710,314,1,7954,3
27.035,2.374,82362,334,1,7805,2
27.048,2.375,83159,256,1,7639,2
27.060,2.376,83446,261,2,7709,2
27.073,2.377,84346,337,2,7736,5
27.085,2.378,83723,284,2,7580,5
27.097,2.379,83556,321,2,7750,3
27.110,2.380,83453,261,2,7945,3
27.122,2.381,84236,362,1,7620,6
27.135,2.382,83285,269,3,7893,2
27.147,2.383,82279,291,2,7777,3
27.160,2.384,83850,263,2,7765,2
27.172,2.385,82437,281,2,8031,4
27.185,2.386,85202,288,1,8080,2
27.197,2.387,84993,353,1,7584,3
27.210,2.388,83500,272,1,7656,3
27.222,2.389,83993,251,2,7884,3
27.234,2.390,83125,276,2,7701,3
27.247,2.391,81016,272,1,7456,3
27.259,2.392,80722,201,1,7677,2
27.272,2.393,80721,251,2,7709,3
27.284,2.394,82097,254,1,7598,3
27.296,2.395,80214,238,1,7651,5
27.309,2.396,81881,276,2,7587,4
27.321,2.397,81952,254,2,7717,2
27.334,2.398,82915,292,3,7737,3
27.346,2.399,81618,250,2,7638,3
27.359,2.400,82382,224,1,7607,2
27.371,2.401,80722,211,2,7771,3
27.383,2.402,81654,301,3,7589,2
27.396,2.403,83102,246,1,7905,3
27.409,2.404,81196,301,2,7785,4
27.422,2.405,81906,254,2,8004,4
27.434,2.406,82129,292,2,7758,4
27.447,2.407,81804,269,2,7765,4
27.460,2.408,82749,285,1,7637,3
27.473,2.409,80661,244,2,8087,3
27.486,2.410,83186,313,2,7737,7
27.498,2.411,83756,216,2,7958,4
27.511,2.412,82690,319,2,7757,3
27.524,2.413,82321,301,2,7703,5
27.537,2.414,82308,274,2,7931,4
27.550,2.415,82816,309,2,7682,5
27.563,2.416,83443,279,2,8140,4
27.576,2.417,83970,247,2,7998,4
27.589,2.418,84257,271,2,7896,3
27.602,2.419,82708,278,2,7804,4
27.615,2.420,82654,330,2,7883,3
27.627,2.421,84372,334,2,7754,3
27.640,2.422,84540,324,2,7963,3
27.653,2.423,83271,293,2,7766,3
27.666,2.424,82941,307,3,7735,3
27.679,2.425,83676,284,2,7803,3
27.692,2.426,85483,307,2,8041,3
27.705,2.427,85809,313,2,8034,5
27.717,2.428,83702,283,2,7715,5
27.730,2.429,84445,240,2,7970,2
27.743,2.430,83816,251,2,7744,4
27.756,2.431,84239,284,2,7776,3
27.769,2.432,86833,306,2,7853,5
27.782,2.433,87221,314,2,8046,5
27.795,2.434,85496,301,2,7907,5
27.808,2.435,85245,299,2,8202,2
27.821,2.436,85539,326,3,7859,2
27.834,2.437,85365,304,2,7930,4
27.847,2.438,86654,302,2,8047,3
27.860,2.439,85586,329,2,7974,7
27.873,2.440,85738,276,2,8038,3
27.886,2.441,84739,277,3,7925,3
27.899,2.442,84659,250,2,7989,4
27.912,2.443,85803,308,3,7868,3
27.925,2.444,87534,292,1,8031,3
27.938,2.445,86321,288,2,8183,3
27.951,2.446,86402,358,2,7687,3
27.964,2.447,85708,252,1,7669,3
27.977,2.448,84610,282,2,7740,2
27.990,2.449,85216,278,2,7602,4
28.002,2.450,84851,294,1,7693,3
28.015,2.451,85860,322,2,7635,4
28.028,2.452,85220,354,1,7808,2
28.041,2.453,84254,323,2,7868,2
28.054,2.454,85193,269,2,7869,4
28.066,2.455,83328,312,2,7838,3
28.079,2.456,85506,254,2,8046,3
28.092,2.457,84633,349,2,8288,3
28.104,2.458,85813,311,2,8067,3
28.117,2.459,85563,341,3,7915,3
28.130,2.460,85545,335,3,8142,4
28.142,2.461,85641,274,1,8104,4
28.155,2.462,83594,286,3,7880,3
28.168,2.463,85319,268,2,7978,2
28.181,2.464,84552,276,2,7852,4
28.194,2.465,86396,325,2,8022,4
28.207,2.466,85869,353,2,8044,5
28.220,2.467,83946,296,2,8224,1
28.233,2.468,83462,279,2,7991,2
28.245,2.469,83263,311,2,7967,3
28.335,2.476,83721,321,1,7932,4
28.348,2.477,86045,358,3,8047,4
28.361,2.478,84779,297,2,7824,3
28.373,2.479,84140,297,2,7777,3
28.386,2.480,83640,301,2,7774,3
28.398,2.481,84738,256,2,7997,3
28.411,2.482,85074,297,2,8264,3
28.424,2.483,86030,304,2,8111,2
28.437,2.484,87406,242,2,7955,2
28.450,2.485,84910,306,2,7668,2
28.462,2.486,86180,271,2,7970,2
28.475,2.487,84894,266,2,8013,2
28.488,2.488,85224,301,1,7910,2
28.501,2.489,83692,345,3,8062,5
28.514,2.490,83514,231,3,7867,2
28.527,2.491,83497,287,2,8145,2
28.540,2.492,81356,329,2,7826,3
28.553,2.493,83201,301,2,7820,3
28.565,2.494,82275,321,2,7799,1
28.578,2.495,83138,323,2,7646,3
28.590,2.496,82527,307,3,7398,3
28.602,2.497,84503,309,2,7894,3
28.615,2.498,83686,285,2,7910,3
28.627,2.499,83420,242,3,7984,3
28.640,2.500,82853,316,3,7978,4
28.652,2.501,83193,288,2,7555,3
28.665,2.502,82933,241,2,7743,2
28.677,2.503,84092,288,2,7818,2
28.690,2.504,84718,288,2,7548,3
28.702,2.505,85019,261,2,7852,2
28.714,2.506,83324,307,2,7835,5
28.727,2.507,84201,295,2,7979,2
28.739,2.508,85830,249,2,7898,4
28.752,2.509,85729,255,2,7786,1
28.764,2.510,86232,299,1,7549,3
28.777,2.511,85022,310,2,7681,2
28.789,2.512,85147,311,1,7910,3
28.802,2.513,81930,207,2,7863,2
28.814,2.514,85550,252,4,8215,4
28.827,2.515,86177,343,3,8215,4
28.840,2.516,85879,308,2,7965,2
28.852,2.517,84562,212,2,8292,2
28.865,2.518,87334,337,2,8040,4
28.877,2.519,85510,307,2,7823,4
28.890,2.520,86069,283,3,7972,4
28.902,2.521,86087,349,3,8023,3
28.915,2.522,86107,288,3,8362,4
28.927,2.523,86353,306,4,8411,4
28.940,2.524,87298,362,3,8008,3
28.952,2.525,84013,288,2,8129,2
28.965,2.526,87062,291,2,8005,3
28.977,2.527,84995,287,2,8014,3
28.989,2.528,85064,331,3,7805,2
29.002,2.529,85624,297,3,7940,3
29.015,2.530,85054,281,2,7965,2
29.027,2.531,83349,363,3,7681,5
29.040,2.532,84938,317,2,7626,3
29.052,2.533,85626,270,2,7934,4
29.065,2.534,83126,247,2,7775,2
29.077,2.535,84592,241,2,7838,3
29.090,2.536,84416,297,2,7692,3
29.102,2.537,84090,306,2,7584,4
29.115,2.538,83557,272,2,7653,3
29.127,2.539,86293,323,3,8085,3
29.140,2.540,84078,263,2,7735,3
29.152,2.541,85529,266,3,7970,4
29.165,2.542,86406,264,2,7802,4
29.178,2.543,84317,281,4,8045,6
29.190,2.544,84771,281,3,7862,3
29.203,2.545,85363,257,2,7922,3
29.215,2.546,86117,312,3,8002,6
29.228,2.547,85905,238,2,8053,5
29.241,2.548,84861,308,2,7802,4
29.253,2.549,83278,339,2,7525,3
29.265,2.550,84475,321,3,7892,4
29.278,2.551,84805,284,3,7781,4
29.290,2.552,86763,411,2,8040,5
29.303,2.553,84575,404,2,7671,5
29.315,2.554,84425,288,2,7928,3
29.328,2.555,85445,375,2,7914,5
29.340,2.556,86434,305,2,7979,5
29.353,2.557,86404,283,2,7899,3
29.365,2.558,86870,372,3,8052,5
